#X,Tire_fl->fzcp_Force(abs),Tire_fl->fycp_Force(abs),Tire_fl->fxcp_Force(abs),Tire_rr->fzcp_Force(abs),Tire_rr->fycp_Force(abs),Tire_rr->fxcp_Force(abs),Tire_fr->fzcp_Force(abs),Tire_fr->fycp_Force(abs),Tire_fr->fxcp_Force(abs),Tire_rl->fzcp_Force(abs),Tire_rl->fycp_Force(abs),Tire_rl->fxcp_Force(abs)
#Time(sec),Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real,Force(N)_Real
0.000000E+00,3569.071045,-45.694057,-35.810951,4133.939941,-30.179409,62.102055,3524.801270,52.293789,-93.725693,4297.350586,56.526752,139.686386
1.000000E-02,3680.895020,-50.599262,4.735203,4202.501465,-53.049183,209.416092,3682.327881,40.830944,-27.267126,4377.942871,54.512596,303.504669
2.000000E-02,3735.730225,-57.660843,6.675494,4284.873047,-64.395340,258.153534,3803.221924,41.665195,9.980799,4442.864746,48.504791,338.397675
3.000000E-02,3720.294434,-63.562607,-9.865200,4359.354004,-66.811440,276.666656,3857.681152,53.835896,25.899244,4474.798828,46.233612,323.355438
4.000000E-02,3638.836182,-66.178429,-34.673492,4406.720215,-61.640667,288.833588,3832.894775,73.904083,22.254480,4465.224121,50.373207,291.625122
5.000000E-02,3511.019287,-64.737640,-61.076405,4414.849609,-50.706585,297.991394,3735.075684,96.218994,1.975381,4416.274414,60.231087,257.185791
6.000000E-02,3366.542725,-59.617336,-82.077591,4382.079102,-37.067707,305.237549,3587.206787,114.538010,-27.459759,4339.983398,73.448196,230.958282
7.000000E-02,3239.296387,-52.309074,-94.655777,4317.114746,-24.145086,308.310120,3424.282227,124.197655,-59.518307,4255.418945,86.627663,218.002686
8.000000E-02,3158.354492,-44.479557,-96.505478,4236.741699,-14.979476,307.081268,3283.840820,123.432617,-87.687630,4183.743164,96.738876,221.893951
9.000000E-02,3142.091553,-37.579456,-87.084297,4161.284180,-11.511792,301.815399,3198.127197,113.155075,-107.060783,4143.172852,101.567337,242.093796
1.000000E-01,3193.873779,-32.637981,-67.033134,4109.778809,-14.387196,294.011993,3186.843994,95.804390,-113.573853,4144.671387,100.080421,274.688416
1.100000E-01,3300.970947,-30.370331,-39.771179,4095.520264,-22.916540,285.318542,3252.594727,74.517006,-104.451698,4189.042969,92.454292,311.874725
1.200000E-01,3436.787842,-31.120007,-11.649453,4122.639648,-35.244804,277.957581,3379.305664,53.105125,-79.329308,4266.165527,80.239418,344.449097
1.300000E-01,3567.928711,-34.731190,8.608536,4185.475586,-48.557995,273.411835,3536.269043,36.114639,-43.230408,4357.865723,66.139168,363.117004
1.400000E-01,3661.709229,-40.196045,14.860276,4269.323730,-59.621090,273.246979,3684.631348,27.979286,-6.199684,4441.909180,53.706882,363.310913
1.500000E-01,3694.344482,-46.706745,-5.277294,4353.500488,-64.609550,264.844604,3786.921387,32.294147,8.892352,4497.420898,45.389088,332.374603
1.600000E-01,3658.713135,-51.265350,-34.546665,4417.796875,-63.053314,263.872589,3818.608154,47.274815,8.752230,4511.364258,44.429985,293.166748
1.700000E-01,3564.638184,-51.997784,-61.042084,4447.121582,-55.517376,273.949768,3773.177979,68.263481,-1.186578,4481.310547,51.152512,258.511871
1.800000E-01,3434.947998,-49.147125,-84.729050,4434.049316,-43.456028,284.777527,3661.968750,89.725533,-23.469501,4414.588379,63.170330,228.701691
1.900000E-01,3300.735840,-43.586193,-100.481049,4381.882324,-30.085566,294.688721,3512.012451,105.782242,-51.388424,4327.434570,77.426834,211.401596
2.000000E-01,3194.677979,-37.383209,-113.675514,4303.695801,-17.974476,290.485321,3360.074951,113.192383,-87.054199,4241.067383,89.696800,199.734695
2.100000E-01,3143.062744,-31.880754,-121.610756,4218.837891,-10.118832,276.197662,3243.352539,110.831718,-122.544655,4176.625488,97.348442,199.287964
2.200000E-01,3158.456543,-27.549786,-113.588234,4147.205566,-8.957047,266.059204,3189.668457,99.487762,-142.697128,4149.166504,99.569649,221.519135
2.300000E-01,3237.524414,-25.190681,-89.441528,4105.456055,-14.575809,260.924530,3212.092285,81.863541,-142.877441,4164.983887,95.845726,260.347748
2.400000E-01,3362.251953,-25.545647,-56.318218,4103.914551,-25.480078,257.991089,3306.653564,61.472343,-123.592682,4220.631836,86.571808,302.386292
2.500000E-01,3503.139404,-28.896765,14.889798,4142.912109,-39.656208,261.606934,3451.795410,42.434849,-125.285774,4302.395508,73.888710,340.968140
