#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
0.000000E+00,-178.458595,-1690.405029,67.064026
1.000000E-02,-178.456819,-1841.635986,63.023071
2.000000E-02,-178.455481,-1992.920776,58.983276
3.000000E-02,-178.454483,-2144.246826,54.946102
4.000000E-02,-178.453664,-2295.591553,50.911282
5.000000E-02,-178.452817,-2446.932129,46.876781
6.000000E-02,-178.451751,-2598.252930,42.839340
7.000000E-02,-178.450317,-2749.549561,38.795143
8.000000E-02,-178.448459,-2900.829346,34.740940
9.000000E-02,-178.446219,-3052.109863,30.674683
1.000000E-01,-178.443733,-3203.415527,26.595955
1.100000E-01,-178.441178,-3354.770020,22.506062
1.200000E-01,-178.438801,-3506.192383,18.407784
1.300000E-01,-178.436752,-3657.691162,14.304729
1.400000E-01,-178.435140,-3809.262939,10.200519
1.500000E-01,-178.433938,-3960.892578,6.097934
1.600000E-01,-178.433023,-4112.555176,1.998104
1.700000E-01,-178.432217,-4264.223145,-2.099867
1.800000E-01,-178.431302,-4415.875488,-6.198565
1.900000E-01,-178.430113,-4567.500000,-10.301590
2.000000E-01,-178.428529,-4719.097656,-14.412704
2.100000E-01,-178.426521,-4870.679199,-18.534838
2.200000E-01,-178.424171,-5022.263184,-22.669292
2.300000E-01,-178.421644,-5173.873047,-26.815676
2.400000E-01,-178.419144,-5325.532227,-30.972063
2.500000E-01,-178.416890,-5477.258301,-35.135307
2.600000E-01,-178.415060,-5629.045898,-39.302074
2.700000E-01,-178.413557,-5780.517578,-43.474709
2.800000E-01,-178.413202,-5931.839355,-47.636581
2.900000E-01,-178.415852,-6083.111328,-51.757393
3.000000E-01,-178.418652,-6233.899902,-55.834427
3.100000E-01,-178.419964,-6384.419434,-59.891476
3.200000E-01,-178.421712,-6534.827148,-63.925892
3.300000E-01,-178.424581,-6685.191406,-67.933372
3.400000E-01,-178.426835,-6835.542480,-71.916199
3.500000E-01,-178.429512,-6986.093262,-75.859528
3.600000E-01,-178.435072,-7136.751465,-79.745209
3.700000E-01,-178.445058,-7287.500977,-83.557930
3.800000E-01,-178.460918,-7438.206055,-87.277237
3.900000E-01,-178.483648,-7588.990723,-90.881767
4.000000E-01,-178.513947,-7739.838867,-94.352615
4.100000E-01,-178.552866,-7890.725098,-97.658401
4.200000E-01,-178.600117,-8041.613281,-100.793777
4.300000E-01,-178.655264,-8192.493164,-103.747414
4.400000E-01,-178.718279,-8343.353516,-106.499336
4.500000E-01,-178.788835,-8494.124023,-109.045692
4.600000E-01,-178.866836,-8644.874023,-111.375755
4.700000E-01,-178.952459,-8795.613281,-113.471138
4.800000E-01,-179.045923,-8946.365234,-115.318375
4.900000E-01,-179.148349,-9097.160156,-116.892113
5.000000E-01,-179.260610,-9248.028320,-118.161659
5.100000E-01,-179.382597,-9398.965820,-119.103455
5.200000E-01,-179.513846,-9549.941406,-119.689468
5.300000E-01,-179.654356,-9700.929688,-119.892990
5.400000E-01,-179.804320,-9851.973633,-119.695999
5.500000E-01,-179.963108,-10003.011719,-119.083618
5.600000E-01,-180.131240,-10154.075195,-118.043922
5.700000E-01,-180.307418,-10305.147461,-116.589401
5.800000E-01,-180.491328,-10456.209961,-114.697830
5.900000E-01,-180.682245,-10607.233398,-112.360146
6.000000E-01,-180.880102,-10758.153320,-109.571533
6.100000E-01,-181.085691,-10909.014648,-106.315041
6.200000E-01,-181.299353,-11059.853516,-102.568230
6.300000E-01,-181.520911,-11210.657227,-98.317711
6.400000E-01,-181.750582,-11361.431641,-93.537712
6.500000E-01,-181.988615,-11512.178711,-88.191559
6.600000E-01,-182.234679,-11662.868164,-82.258270
6.700000E-01,-182.488216,-11813.467773,-75.728867
